
2024/12/29 (17:59:10) | ===> btop++ v.1.4.0
2024/12/29 (17:59:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:05:40) | ===> btop++ v.1.4.0
2024/12/29 (18:05:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:06:10) | ===> btop++ v.1.4.0
2024/12/29 (18:06:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:09:33) | ===> btop++ v.1.4.0
2024/12/29 (18:09:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/29 (18:10:17) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/12/29 (18:10:23) | ===> btop++ v.1.4.0
2024/12/29 (18:10:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:10:28) | ===> btop++ v.1.4.0
2024/12/29 (18:10:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:10:31) | ===> btop++ v.1.4.0
2024/12/29 (18:10:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:10:34) | ===> btop++ v.1.4.0
2024/12/29 (18:10:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:10:51) | ===> btop++ v.1.4.0
2024/12/29 (18:10:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:10:57) | ===> btop++ v.1.4.0
2024/12/29 (18:10:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:11:07) | ===> btop++ v.1.4.0
2024/12/29 (18:11:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:11:19) | ===> btop++ v.1.4.0
2024/12/29 (18:11:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/29 (18:11:35) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/12/29 (18:11:42) | ===> btop++ v.1.4.0
2024/12/29 (18:11:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/29 (18:12:34) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/12/29 (18:12:40) | ===> btop++ v.1.4.0
2024/12/29 (18:12:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:13:47) | ===> btop++ v.1.4.0
2024/12/29 (18:13:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:14:19) | ===> btop++ v.1.4.0
2024/12/29 (18:14:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:14:33) | ===> btop++ v.1.4.0
2024/12/29 (18:14:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:16:26) | ===> btop++ v.1.4.0
2024/12/29 (18:16:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (18:17:41) | ===> btop++ v.1.4.0
2024/12/29 (18:17:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/31 (14:44:31) | ===> btop++ v.1.4.0
2024/12/31 (14:44:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/01 (15:25:20) | ===> btop++ v.1.4.0
2025/01/01 (15:25:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/01 (15:27:17) | ===> btop++ v.1.4.0
2025/01/01 (15:27:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/08 (10:23:19) | ===> btop++ v.1.4.0
2025/01/08 (10:23:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/08 (14:00:34) | ===> btop++ v.1.4.0
2025/01/08 (14:00:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/08 (14:00:46) | ===> btop++ v.1.4.0
2025/01/08 (14:00:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/08 (22:02:03) | ===> btop++ v.1.4.0
2025/01/08 (22:02:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/14 (22:09:32) | ===> btop++ v.1.4.0
2025/01/14 (22:09:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/14 (22:23:28) | ===> btop++ v.1.4.0
2025/01/14 (22:23:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/15 (10:17:57) | ===> btop++ v.1.4.0
2025/01/15 (10:17:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/15 (11:28:58) | ===> btop++ v.1.4.0
2025/01/15 (11:28:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/15 (22:15:56) | ===> btop++ v.1.4.0
2025/01/15 (22:15:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/17 (16:32:49) | ===> btop++ v.1.4.0
2025/01/17 (16:32:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/28 (10:34:26) | ===> btop++ v.1.4.0
2025/01/28 (10:34:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (10:23:36) | ===> btop++ v.1.4.0
2025/02/04 (10:23:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
